date,Tavg
15-04-2019,27.5
16-04-2019,27.3
17-04-2019,27.7
18-04-2019,27.3
19-04-2019,28.0
20-04-2019,27.9
21-04-2019,27.6
22-04-2019,28.2
23-04-2019,28.8
24-04-2019,28.4
25-04-2019,28.0
26-04-2019,28.3
27-04-2019,25.1
28-04-2019,27.0
29-04-2019,27.7
30-04-2019,27.5
01-05-2019,
02-05-2019,26.6
03-05-2019,25.5
04-05-2019,25.8
05-05-2019,25.4
06-05-2019,26.6
07-05-2019,27.2
08-05-2019,27.7
09-05-2019,27.4
10-05-2019,27.7
11-05-2019,27.3
12-05-2019,26.6
13-05-2019,26.6
14-05-2019,26.9
15-05-2019,27.5
16-05-2019,27.0
17-05-2019,27.3
18-05-2019,26.9
19-05-2019,26.7
20-05-2019,27.5
21-05-2019,27.3
22-05-2019,26.7
23-05-2019,26.2
24-05-2019,26.3
25-05-2019,26.8
26-05-2019,27.1
27-05-2019,26.8
28-05-2019,26.5
29-05-2019,25.5
30-05-2019,26.6
31-05-2019,26.8
01-06-2019,26.6
02-06-2019,26.7
03-06-2019,25.9
04-06-2019,25.7
05-06-2019,25.5
06-06-2019,25.7
07-06-2019,25.5
08-06-2019,26.3
09-06-2019,26.8
10-06-2019,26.1
11-06-2019,26.5
12-06-2019,25.8
13-06-2019,25.5
14-06-2019,25.8
15-06-2019,25.2
16-06-2019,25.5
17-06-2019,25.4
18-06-2019,24.9
19-06-2019,25.8
20-06-2019,25.4
21-06-2019,24.9
22-06-2019,25.6
23-06-2019,25.6
24-06-2019,25.9
25-06-2019,25.6
26-06-2019,25.0
27-06-2019,25.6
28-06-2019,25.3
29-06-2019,25.2
30-06-2019,25.4
01-07-2019,24.9
02-07-2019,24.5
03-07-2019,24.1
04-07-2019,24.9
05-07-2019,24.8
06-07-2019,24.8
07-07-2019,25.4
08-07-2019,24.8
09-07-2019,25.6
10-07-2019,24.6
11-07-2019,25.2
12-07-2019,23.1
13-07-2019,24.7
14-07-2019,23.7
15-07-2019,24.7
16-07-2019,24.5
17-07-2019,24.6
18-07-2019,24.8
19-07-2019,25.3
20-07-2019,24.5
21-07-2019,23.7
22-07-2019,24.1
23-07-2019,25.2
24-07-2019,25.7
25-07-2019,25.1
26-07-2019,23.3
27-07-2019,24.9
28-07-2019,24.2
29-07-2019,24.2
30-07-2019,24.5
31-07-2019,25.2
01-08-2019,24.6
02-08-2019,24.5
